,,,,,,,36057,C S,1213,10,Programming with Python,"Chekuri, Omkar Saiswaroop Varma",Jan 13 - May 2,9 out of 120,No Wait List,
C S 1213-010 -Programming with Python,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Jan 13 - May 2,9:00 am - 9:50 am,Felgar Hall 300,MWF,,,,,,,,,,,
,May 5 (Final Exam),8:00 am - 10:00 am,Felgar Hall 300,M,,,,,,,,,,,
,,,,,,,17631,C S,1313,11,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,5 out of 40,0 Waiting
C S 1313-011 -Disc-C S 1313-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mohammad Amin Basiri,Seats Left:,5 out of 40,Schedule:,Discussion with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,12:00 pm - 12:50 pm,Carson Engr Ctr 205,F,,,,,,,,,,,
,,,,,,,17632,C S,1313,12,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,1 out of 40,0 Waiting
C S 1313-012 -Disc-C S 1313-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mohammad Amin Basiri,Seats Left:,1 out of 40,Schedule:,Discussion with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,1:00 pm - 1:50 pm,Carson Engr Ctr 205,F,,,,,,,,,,,
,,,,,,,17633,C S,1313,13,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,1 out of 40,0 Waiting
C S 1313-013 -Disc-C S 1313-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mohammad Amin Basiri,Seats Left:,1 out of 40,Schedule:,Discussion with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: MATH 1523 or concurrent enrollment. Introduction to the design and implementation of computer programs. Emphasis on problem solving. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, loops, procedures and functions, arrays, standard libraries, input and output, structures, and program documentation. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,10:00 am - 10:50 am,Carson Engr Ctr 205,F,,,,,,,,,,,
,,,,,,,36230,C S,1321,100,Java for Programmers,"Banweer, Keerti",Jan 13 - Mar 7,14 out of 22,0 Waiting
C S 1321-100 -Java for Programmers,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Keerti Banweer and Deborah Trytten,Seats Left:,14 out of 22,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,First Half Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
https://ousurvey.qualtrics.com/jfe/form/SV_9YR1cXNNt7mJvF4,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to computer programming using the Java programming language for students who are already proficient in another programming language. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Jan 13 - Mar 7,3:00 pm - 4:40 pm,Carson Engr Ctr 121,M,,,,,,,,,,,
,,,,,,,32577,C S,1323,1,Intro. Prog. for Programmers,"Banweer, Keerti",Jan 13 - May 2,79 out of 120,0 Waiting
C S 1323-001 -Intro. Prog. for Programmers,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Keerti Banweer and Deborah Trytten,Seats Left:,79 out of 120,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
https://ousurvey.qualtrics.com/jfe/form/SV_9YR1cXNNt7mJvF4,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with some prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Jan 13 - May 2,11:00 am - 11:50 am,Dale Hall 218,MWF,,,,,,,,,,,
,May 7 (Final Exam),7:30 pm - 9:30 pm,Location not available,W,,,,,,,,,,,
,,,,,,,36159,C S,1324,10,Intro prog for non-programmers,"Trytten, Deborah",Jan 13 - May 2,37 out of 110,No Wait List
C S 1324-010 -Intro prog for non-programmers,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Deborah Trytten,Seats Left:,37 out of 110,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,No Wait List,,,,,,,,,
STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING SECTIONS AS A COREQUISITE: C S 1324-011 THROUGH C S 1324-013. https://ousurvey.qualtrics.com/jfe/form/SV_9YR1cXNNt7mJvF4,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Jan 13 - May 2,10:00 am - 10:50 am,Dale Hall 218,MWF,,,,,,,,,,,
,May 7 (Final Exam),7:30 pm - 9:30 pm,Location not available,W,,,,,,,,,,,
,,,,,,,36161,C S,1324,11,Lab-C S 1324-010,"Peri, Aishwarya",Jan 13 - May 2,5 out of 30,0 Waiting
C S 1324-011 -Lab-C S 1324-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Aishwarya Peri and Deborah Trytten,Seats Left:,5 out of 30,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,11:00 am - 12:50 pm,Adams Hall 100,M,,,,,,,,,,,
,,,,,,,36162,C S,1324,12,Lab-C S 1324-010,"Vasireddy, Ujwala",Jan 13 - May 2,20 out of 40,0 Waiting
C S 1324-012 -Lab-C S 1324-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Ujwala Vasireddy and Deborah Trytten,Seats Left:,20 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,1:00 pm - 2:50 pm,Sarkeys Energy Ctr M0207,M,,,,,,,,,,,
,,,,,,,36163,C S,1324,13,Lab-C S 1324-010,"Peri, Aishwarya",Jan 13 - May 2,12 out of 40,0 Waiting
C S 1324-013 -Lab-C S 1324-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Aishwarya Peri and Deborah Trytten,Seats Left:,12 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: Departmental Permission; and Math 1523 or MATH 1743 or equivalent or concurrent enrollment, or placement into Math 1823 or higher. Introduction to the design and implementation of computer software with an emphasis on abstraction and program organization for students with no prior programming experience. Topics include: variables and constants, arithmetic and Boolean expressions, conditional statements, repetition, methods, arrays, linear and binary search, basic sorting algorithms, object-oriented programming, documentation, and testing. Students may not take this class after passing CS 2334. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,3:00 pm - 4:50 pm,Sarkeys Energy Ctr M0207,M,,,,,,,,,,,
,,,,,,,17639,C S,2334,1,Programming Struc/Abstractions,"Mudduluru, Sanjana",Jan 13 - May 2,37 out of 80,No Wait List
C S 2334-001 -Programming Struc/Abstractions,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Sanjana Mudduluru,Seats Left:,37 out of 80,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,No Wait List,,,,,,,,,
STUDENTS MUST ENROLL IN ONE OF THE FOLLOWING LAB SECTIONS AS A COREQUISITE: C S 2334 011 THROUGH 014.,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Jan 13 - May 2,9:00 am - 9:50 am,Sarkeys Energy Ctr N0202,MWF,,,,,,,,,,,
,May 5 (Final Exam),8:00 am - 10:00 am,Sarkeys Energy Ctr N0202,M,,,,,,,,,,,
,,,,,,,45814,C S,2334,2,Programming Struc/Abstractions,"Mudduluru, Sanjana",Jan 13 - May 2,4 out of 80,No Wait List
C S 2334-002 -Programming Struc/Abstractions,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Sanjana Mudduluru,Seats Left:,4 out of 80,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,No Wait List,,,,,,,,,
Students must enroll in one of the following lab co-requisites: C S 2334-011 thru C S 2334-014,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Jan 13 - May 2,10:00 am - 10:50 am,Sarkeys Energy Ctr N0202,MWF,,,,,,,,,,,
,May 6 (Final Exam),8:00 am - 10:00 am,Sarkeys Energy Ctr N0202,T,,,,,,,,,,,
,,,,,,,17640,C S,2334,11,Lab-C S 2334,"Islam, Farabee",Jan 13 - May 2,1 out of 40,0 Waiting
C S 2334-011 -Lab-C S 2334,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Farabee Islam and Sanjana Mudduluru,Seats Left:,1 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,11:00 am - 12:50 pm,Sarkeys Energy Ctr M0207,W,,,,,,,,,,,
,,,,,,,17641,C S,2334,12,Lab-C S 2334,"Islam, Farabee",Jan 13 - May 2,1 out of 40,0 Waiting
C S 2334-012 -Lab-C S 2334,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Farabee Islam and Sanjana Mudduluru,Seats Left:,1 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,1:00 pm - 2:50 pm,Sarkeys Energy Ctr M0207,W,,,,,,,,,,,
,,,,,,,34610,C S,2334,13,Lab-C S 2334,"Gheibi, Reza",Jan 13 - May 2,13 out of 40,0 Waiting
C S 2334-013 -Lab-C S 2334,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Reza Gheibi and Sanjana Mudduluru,Seats Left:,13 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,3:00 pm - 4:50 pm,Sarkeys Energy Ctr M0207,W,,,,,,,,,,,
,,,,,,,44827,C S,2334,14,Lab-C S 2334,"Gheibi, Reza",Jan 13 - May 2,26 out of 40,0 Waiting
C S 2334-014 -Lab-C S 2334,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Reza Gheibi and Sanjana Mudduluru,Seats Left:,26 out of 40,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 1323 or 1321 or 1324, and MATH 1523 or higher. The design and implementation of computer programs using disciplined methodologies. Use of several abstract data types. Software reuse through encapsulation, composition, aggregation, inheritance, polymorphism, and generics. Topics include recursion, GUI development, file processing, and unit testing. A program design tool will be used. Introduction to ethics in computer science, including philosophical ethics theories. Discussion of intellectual property rights and privacy. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,5:00 pm - 6:50 pm,Sarkeys Energy Ctr M0207,W,,,,,,,,,,,
,,,,,,,17642,C S,2413,1,Data Structures,"Radhakrishnan, Sridhar",Jan 13 - May 2,59 out of 180,0 Waiting
C S 2413-001 -Data Structures,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Sridhar Radhakrishnan,Seats Left:,59 out of 180,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 2334 and MATH 1823 or 1914; and C S 2813 or MATH 2513, or concurrent enrollment in C S 2813 or MATH 2513. Representation, analysis and implementation of data structures and associated algorithms including: algorithm complexity, sorting algorithms, lists, stacks, queues, search trees (AVL, Red-Black, Splay, 2-3), Heaps, Graphs, and Hashing. Written communications required in some projects. Ethical issues and tools and techniques used in writing secure applications will also be discussed. The primary programming language is C++ with a debugging tool. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,6:00 pm - 7:20 pm,Felgar Hall 300,TR,,,,,,,,,,,
,,,,,,,35765,C S,2614,10,Computer Organization,"Atiquzzaman, Mohammed",Jan 13 - May 2,13 out of 120,No Wait List
C S 2614-010 -Computer Organization,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mohammed Atiquzzaman,Seats Left:,13 out of 120,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,No Wait List,,,,,,,,,
Students must enroll in the following co-requisite lab : C S 2614-011,Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
"Prerequisite: CS 2334. An introduction to the architecture, organization and design of uniprocessor-based computer systems. Topics include processor, control and memory design and organization, pipelining and vector processing, computer arithmetic, I/O organization, and computer systems security. (F, Sp)",Jan 13 - May 2,10:30 am - 11:45 am,Gallogly Hall 127,TR,,,,,,,,,,,
,May 7 (Final Exam),8:00 am - 10:00 am,Gallogly Hall 127,W,,,,,,,,,,,
,,,,,,,43646,C S,2614,11,Lab-C S 2614-010,"Atiquzzaman, Mohammed",Jan 13 - May 2,13 out of 120,0 Waiting
C S 2614-011 -Lab-C S 2614-010,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mohammed Atiquzzaman and Yonathan Hendrawan,Seats Left:,13 out of 120,Schedule:,Lab with No Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: CS 2334. An introduction to the architecture, organization and design of uniprocessor-based computer systems. Topics include processor, control and memory design and organization, pipelining and vector processing, computer arithmetic, I/O organization, and computer systems security. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,3:00 pm - 4:40 pm,Felgar Hall 300,W,,,,,,,,,,,
,,,,,,,17651,C S,2813,1,Discrete Structures,"Lan, Chao",Jan 13 - May 2,37 out of 120,0 Waiting
C S 2813-001 -Discrete Structures,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Chao Lan,Seats Left:,37 out of 120,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 2334; MATH 2423 or MATH 2924 as prerequisite or concurrent enrollment. Introduction to the theory of discrete structures useful in computer science. Topics include combinatorics, relations, functions, computational complexity, recurrences, and graph theory. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,1:30 pm - 2:45 pm,Dale Hall 218,TR,,,,,,,,,,,
,May 5 (Final Exam),1:30 pm - 3:30 pm,Dale Hall 218,M,,,,,,,,,,,
,,,,,,,47763,C S,2970,11,Data Structures Lab,"Radhakrishnan, Sridhar",Jan 13 - May 2,19 out of 30,No Wait List
C S 2970-011 -Data Structures Lab,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Sridhar Radhakrishnan,Seats Left:,19 out of 30,Schedule:,Lab with Credit,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,No Wait List,,,,,,,,,
"Special Topics. 1 to 3 hours. May be repeated; Maximum credit nine hours. Special topics course for content not currently offered in regularly scheduled courses. May include library and/or laboratory research, and field projects. (Irreg.)",Repeatable:,"Times: 3, Max Hours: 9",,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,3:00 pm - 4:50 pm,Devon Energy Hall 130,M,,,,,,,,,,,
,,,,,,,39358,C S,3113,1,Intro to Operating Systems,"Radhakrishnan, Sridhar",Jan 13 - May 2,32 out of 120,0 Waiting
C S 3113-001 -Intro to Operating Systems,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Sridhar Radhakrishnan,Seats Left:,32 out of 120,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 2413 or C S 2414, and C S 2813 or MATH 2513, and C S 2614 or ECE 3223. An introduction to the major concepts and techniques of designing and implementing operating systems including: memory management, process management, information management, and computer security. Principles of performance evaluation. Class projects require the design and implementation of software systems. A UNIX family operating system will be used. (F)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,9:00 am - 10:15 am,Nielsen Hall 170,TR,,,,,,,,,,,
,May 9 (Final Exam),8:00 am - 10:00 am,Nielsen Hall 170,F,,,,,,,,,,,
,,,,,,,42489,C S,3203,1,Software Engineering,"Abdulhak, Mansoor",Jan 13 - May 2,3 out of 120,0 Waiting
C S 3203-001 -Software Engineering,,,,,,,,,,,,,,,
Instructor,Quick Facts,,,,,,,,,,,,,,
Mansoor Abdulhak,Seats Left:,3 out of 120,Schedule:,Lecture,Delivery:,Traditional In-Person,,,,,,,,,
Class Description,Term:,Full Term,GenEd Type:,None,Wait List:,0 Waiting,,,,,,,,,
"Prerequisite: C S 2413 or CS 2414, and C S 2813 or MATH 2513. Methods and tools for software specification, design, implementation, testing, code management and documentation. Emphasis on architectural modularity, encapsulation of software objects, and current industrial software development processes. Students will make reasoned choices among software components. Study of professional ethics, responsibility, and legal issues. No student may obtain credit for CS 3203 and C S 5213. (F, Sp)",Repeatable:,Not Repeatable,,,,,,,,,,,,,
,Meeting Dates,Meeting Times,Location,Meeting Days,,,,,,,,,,,
,Jan 13 - May 2,11:00 am - 11:50 am,Gallogly Hall 127,MWF,,,,,,,,,,,
,May 9 (Final Exam),1:30 pm - 3:30 pm,Gallogly Hall 127,F,,,,,,,,,,,
