,crn,subject,course,section,title,instructor,dates,seats,waitlist
63,41262,MATH,2423,15,Disc-MATH 2423-010,"Rajaei, Reza",Jan 13 - May 2,1 out of 27,0 Waiting
64,48202,MATH,2423,16,Disc-MATH 2423-010,"Gonuldes, Ahmet",Jan 13 - May 2,2 out of 27,0 Waiting
65,46445,MATH,2433,1,Calculus & Analyt Geometry III,"Malestein, Justin",Jan 13 - May 2,2 out of 40,0 Waiting
66,20533,MATH,2433,3,Calculus & Analyt Geometry III,"Apanasov, Boris",Jan 13 - May 2,9 out of 40,0 Waiting
67,20543,MATH,2443,3,Calculus & Analyt Geometry IV,"Merrell, Robert",Jan 13 - May 2,1 out of 40,0 Waiting
68,20549,MATH,2443,6,Calculus & Analyt Geometry IV,"Lorincz, Andras",Jan 13 - May 2,2 out of 40,0 Waiting
69,32290,MATH,2513,2,Discrete Math Structures,"Patzt, Peter",Jan 13 - May 2,15 out of 35,0 Waiting
70,32291,MATH,2924,10,Diff & Integral Calculus II,"Kramar, Miroslav",Jan 13 - May 2,20 out of 146,No Wait List
71,41263,MATH,2924,15,Disc-MATH 2924-010,"Montero Alcaraz, Gamaliel",Jan 13 - May 2,1 out of 24,0 Waiting
72,46533,MATH,2924,16,Disc-MATH 2924-010,"Zhao, Jingyi",Jan 13 - May 2,19 out of 25,0 Waiting
73,32332,MATH,2934,2,Diff & Int CalculusIII(HONORS),"He, Yan Mary",Jan 13 - May 2,8 out of 17,0 Waiting
74,34457,MATH,2934,7,Diff & Int CalculusIII(HONORS),"Malestein, Justin",Jan 13 - May 2,6 out of 17,0 Waiting
75,14884,MATH,3113,3,Intro-Ordinary Diff Equations,"Ekanayake Mudiyanselage, Hasitha Anuradha",Jan 13 - May 2,1 out of 80,0 Waiting
76,14886,MATH,3113,4,Intro-Ordinary Diff Equations,"Arbunich, Jack",Jan 13 - May 2,2 out of 68,0 Waiting
77,14889,MATH,3113,5,Intro-Ordinary Diff Equations,"Moon, Gary",Jan 13 - May 2,1 out of 68,0 Waiting
78,34459,MATH,3113,10,Intro-Ordinary Diff Equations,"Nance, Ty E.",Jan 13 - May 2,5 out of 32,0 Waiting
79,14893,MATH,3333,1,Linear Algebra I,"Maddox, Julia",Jan 13 - May 2,4 out of 36,0 Waiting
80,14900,MATH,3333,2,Linear Algebra I,"Li, Jiamin",Jan 13 - May 2,1 out of 60,0 Waiting
81,14916,MATH,3333,4,Linear Algebra I,"Dang, Gefei",Jan 13 - May 2,2 out of 60,0 Waiting
82,37493,MATH,3333,6,Linear Algebra I,"Bailey, Victor",Jan 13 - May 2,3 out of 75,0 Waiting
83,37728,MATH,3333,7,Linear Algebra I,"Nance, Ty E.",Jan 13 - May 2,1 out of 36,0 Waiting
84,46606,MATH,3333,8,Linear Algebra I,"Grimley, Lauren E.",Jan 13 - May 2,3 out of 34,0 Waiting
85,33525,MATH,3401,1,Numerical Methods with Matlab,"Nance, Ty E.",Jan 13 - May 2,19 out of 100,0 Waiting
86,14921,MATH,3413,1,Physical Mathematics I,"Docampo Alvarez, Roi",Jan 13 - May 2,1 out of 36,0 Waiting
87,14922,MATH,3413,2,Physical Mathematics I,"Ozaydin, Murad",Jan 13 - May 2,10 out of 35,0 Waiting
88,37641,MATH,3440,2,Mentored Research Experience,"Stewart, Sepideh",Jan 13 - May 9,2 out of 2,No Wait List
89,39213,MATH,3440,15,Mentored Research Experience,"Galizia, Michele",Jan 13 - May 9,5 out of 5,No Wait List
90,24134,MATH,3960,35,Honors Reading (HONORS),"Roche, Alan",Jan 13 - May 9,5 out of 5,No Wait List
91,15147,MATH,3980,2,Honors Research (HONORS),"Albert, John",Jan 13 - May 9,1 out of 1,No Wait List
92,25215,MATH,3980,14,Honors Research (HONORS),"Kornelson, Keri",Jan 13 - May 9,1 out of 1,No Wait List
93,15170,MATH,3980,15,Honors Research (HONORS),"Crowell, Sean",Jan 13 - May 9,1 out of 1,No Wait List
94,28478,MATH,3980,27,Honors Research (HONORS),"Wang, Weinan",Jan 13 - May 9,1 out of 2,No Wait List
95,15240,MATH,3990,2,Independent Study,"Albert, John",Jan 13 - May 9,4 out of 5,No Wait List
96,25216,MATH,3990,14,Independent Study,"Kornelson, Keri",Jan 13 - May 9,1 out of 2,No Wait List
97,15311,MATH,3990,16,Independent Study,"Moore-Russo, Deborah",Jan 13 - May 9,2 out of 3,No Wait List
98,15342,MATH,3990,30,Independent Study,"Savic, Milos",Jan 13 - May 9,1 out of 2,No Wait List
99,15346,MATH,3990,34,Independent Study,"Petrov, Nikola",Jan 13 - May 9,2 out of 2,No Wait List
100,46372,MATH,G4073,1,Numerical Analysis,"Wang, Ying",Jan 13 - May 2,4 out of 40,0 Waiting
101,14939,MATH,G4163,1,Intro-Partial Diff Equations,"Albert, John",Jan 13 - May 2,2 out of 30,0 Waiting
102,14940,MATH,4193,1,Introductory Math Modeling,"Petrov, Nikola",Jan 13 - May 2,4 out of 12,0 Waiting
103,14941,MATH,G4323,1,Intro to Abstract Algebra I,"Mendes, Ricardo",Jan 13 - May 2,4 out of 20,0 Waiting
104,42677,MATH,4373,1,Abstract Linear Algebra,"Brady, Noel",Jan 13 - May 2,6 out of 25,0 Waiting
105,44354,MATH,4383,1,Applied Modern Algebra,"Muller, Gregory",Jan 13 - May 2,3 out of 20,0 Waiting
106,14944,MATH,G4433,1,Introduction to Analysis I,"Chavez Dominguez, Javier",Jan 13 - May 2,7 out of 20,0 Waiting
107,46095,MATH,4443,1,Introduction to Analysis II,"Wang, Ying",Jan 13 - May 2,4 out of 15,0 Waiting
108,14946,MATH,4513,1,Senior Mathematics Seminar,"Roche, Alan",Jan 13 - May 2,10 out of 25,0 Waiting
109,46098,MATH,4743,1,Intro to Math Statistics,"Grigo, Alexander",Jan 13 - May 2,11 out of 15,0 Waiting
110,26853,MATH,G4753,3,Applied Statistical Methods,"Stewart, Wayne",Jan 13 - May 2,50 out of 120,0 Waiting
111,47690,MATH,4803,1,Topics in Mathematics,"Chavez Dominguez, Javier",Jan 13 - May 2,20 out of 25,0 Waiting
112,14973,MATH,G4853,1,Introduction to Topology,"Apanasov, Boris",Jan 13 - May 2,11 out of 27,0 Waiting
113,45065,MATH,4960,1,Directed Readings,"Petrov, Nikola",Jan 13 - May 9,3 out of 5,No Wait List
114,28668,MATH,4990,27,Independent Study,"Wu, Yilun",Jan 13 - May 9,5 out of 5,No Wait List
115,15414,MATH,4990,32,Independent Study,"Tao, Jing",Jan 13 - May 9,1 out of 2,No Wait List
116,15416,MATH,4990,33,Independent Study,"Petrov, Nikola",Jan 13 - May 9,1 out of 1,No Wait List
117,14974,MATH,5103,1,Mathematical Models,"Petrov, Nikola",Jan 13 - May 2,4 out of 7,No Wait List
118,14980,MATH,5363,1,Abstract Algebra II,"Pitale, Ameya",Jan 13 - May 2,13 out of 20,No Wait List
119,43129,MATH,5373,1,Abstract Linear Algebra,"Brady, Noel",Jan 13 - May 2,3 out of 5,No Wait List
120,44355,MATH,5383,1,Applied Modern Algebra,"Muller, Gregory",Jan 13 - May 2,3 out of 5,No Wait List
121,46096,MATH,5443,1,Introduction to Analysis II,"Wang, Ying",Jan 13 - May 2,5 out of 5,No Wait List
122,14991,MATH,5463,1,Real Analysis II,"Ozaydin, Murad",Jan 13 - May 2,15 out of 20,No Wait List
123,46099,MATH,5743,1,Intro to Math Statistics,"Grigo, Alexander",Jan 13 - May 2,3 out of 9,No Wait List
124,14998,MATH,5863,1,Topology II,"He, Yan Mary",Jan 13 - May 2,14 out of 20,No Wait List
125,15460,MATH,5900,2,Graduate Mathematics Readings,"Albert, John",Jan 13 - May 9,1 out of 1,No Wait List
126,15521,MATH,5900,4,Graduate Mathematics Readings,"Jablonski, Michael",Jan 13 - May 9,5 out of 5,No Wait List
127,24137,MATH,5900,7,Graduate Mathematics Readings,"Wang, Ying",Jan 13 - May 9,1 out of 2,No Wait List
128,15539,MATH,5900,8,Graduate Mathematics Readings,"Brady, Noel",Jan 13 - May 9,1 out of 2,No Wait List
129,15544,MATH,5900,11,Graduate Mathematics Readings,"Forester, Max",Jan 13 - May 9,1 out of 2,No Wait List
130,15548,MATH,5900,13,Graduate Mathematics Readings,"Grigo, Alexander",Jan 13 - May 9,4 out of 5,No Wait List
131,15550,MATH,5900,15,Graduate Mathematics Readings,"Mandel, Travis",Jan 13 - May 9,1 out of 1,No Wait List
132,15552,MATH,5900,16,Graduate Mathematics Readings,"Patzt, Peter",Jan 13 - May 9,5 out of 5,No Wait List
133,15567,MATH,5900,21,Graduate Mathematics Readings,"Mendes, Ricardo",Jan 13 - May 9,2 out of 2,No Wait List
134,15590,MATH,5900,23,Graduate Mathematics Readings,"Pitale, Ameya",Jan 13 - May 9,1 out of 4,No Wait List
135,15599,MATH,5900,27,Graduate Mathematics Readings,"Zhang, Pengfei",Jan 13 - May 9,1 out of 1,No Wait List
136,15606,MATH,5900,29,Graduate Mathematics Readings,"Docampo Alvarez, Roi",Jan 13 - May 9,5 out of 5,No Wait List
137,15610,MATH,5900,30,Graduate Mathematics Readings,"Savic, Milos",Jan 13 - May 9,1 out of 2,No Wait List
138,15611,MATH,5900,31,Graduate Mathematics Readings,"Wu, Yilun",Jan 13 - May 9,5 out of 5,No Wait List
139,15614,MATH,5900,32,Graduate Mathematics Readings,"Tao, Jing",Jan 13 - May 9,2 out of 2,No Wait List
140,15615,MATH,5900,33,Graduate Mathematics Readings,"Muller, Gregory",Jan 13 - May 9,5 out of 5,No Wait List
141,15621,MATH,5900,36,Graduate Mathematics Readings,"He, Yan Mary",Jan 13 - May 9,2 out of 2,No Wait List
142,15623,MATH,5900,37,Graduate Mathematics Readings,"Kujawa, Jonathan",Jan 13 - May 9,5 out of 5,No Wait List
143,15633,MATH,5900,38,Graduate Mathematics Readings,"Martin, Kimball",Jan 13 - May 9,3 out of 3,No Wait List
144,24439,MATH,5900,39,Graduate Mathematics Readings,"Stewart, Sepideh",Jan 13 - May 9,4 out of 5,No Wait List
145,15003,MATH,5930,1,Geometry & Topology,"Forester, Max",Jan 13 - May 2,9 out of 10,No Wait List
146,15009,MATH,5950,1,Undergrad Math Curr/Pedagogy,"Savic, Milos",Jan 13 - May 2,10 out of 15,No Wait List
147,15719,MATH,5980,28,Research for Master's Thesis,"Remling, Christian",Jan 13 - May 9,5 out of 5,No Wait List
148,47682,MATH,6383,1,Algebraic Geometry,"Lorincz, Andras",Jan 13 - May 2,9 out of 15,No Wait List
149,47684,MATH,6483,1,Functional Analysis II,"Kornelson, Keri",Jan 13 - May 2,4 out of 15,No Wait List
150,47679,MATH,6493,1,Topics in Analysis,"Grigo, Alexander",Jan 13 - May 2,10 out of 15,No Wait List
151,47681,MATH,6803,1,Literacy in Topology,"Malestein, Justin",Jan 13 - May 2,10 out of 15,No Wait List
152,47689,MATH,6823,1,Algebraic Topology II,"Miller, Nicholas",Jan 13 - May 2,2 out of 15,No Wait List
153,41037,MATH,6910,1,Seminar--Analysis,"Petrov, Nikola",Jan 13 - May 2,15 out of 15,No Wait List
154,15052,MATH,6930,1,Seminar--Geometry and Topology,"Forester, Max",Jan 13 - May 2,5 out of 5,No Wait List
155,15787,MATH,6980,2,Research Doctoral Dissertation,"Albert, John",Jan 13 - May 9,1 out of 2,No Wait List
156,15789,MATH,6980,4,Research Doctoral Dissertation,"Jablonski, Michael",Jan 13 - May 9,1 out of 2,No Wait List
157,15792,MATH,6980,7,Research Doctoral Dissertation,"Wang, Ying",Jan 13 - May 9,1 out of 1,No Wait List
158,15794,MATH,6980,10,Research Doctoral Dissertation,"Remling, Christian",Jan 13 - May 9,1 out of 1,No Wait List
159,15895,MATH,6980,20,Research Doctoral Dissertation,"Patzt, Peter",Jan 13 - May 9,1 out of 2,No Wait List
160,15899,MATH,6980,22,Research Doctoral Dissertation,"Ozaydin, Murad",Jan 13 - May 9,5 out of 5,No Wait List
161,24142,MATH,6980,27,Research Doctoral Dissertation,"Zhang, Pengfei",Jan 13 - May 9,5 out of 5,No Wait List
162,15919,MATH,6980,29,Research Doctoral Dissertation,"Docampo Alvarez, Roi",Jan 13 - May 9,2 out of 5,No Wait List
163,15926,MATH,6980,31,Research Doctoral Dissertation,"Kramar, Miroslav",Jan 13 - May 9,2 out of 2,No Wait List
164,15936,MATH,6980,37,Research Doctoral Dissertation,"Kujawa, Jonathan",Jan 13 - May 9,3 out of 3,No Wait List
165,24442,MATH,6980,39,Research Doctoral Dissertation,"Mendes, Ricardo",Jan 13 - May 9,1 out of 2,No Wait List
166,46522,MATH,6990,1,Independent Study,"Moore-Russo, Deborah",Jan 13 - May 9,4 out of 5,No Wait List
